x1,x2,x3,x4,x5,x6,x7,x8
28.0,140.0,0.5,446.4,174.174,21.070005539247084,4.740612376235895,5.090228544201816
28.0,140.0,0.5,483.6,171.46584000000001,21.373942448482683,4.740520975835896,5.090228544201816
28.0,140.0,0.5,520.8,168.75768,21.673602013664375,4.740429575435895,5.090228544201816
28.0,140.0,0.5,558.0,166.04952000000003,21.96827103034559,4.740338175035896,5.090228544201816
28.0,140.0,0.6,0.0,206.67192000000003,23.949121301407978,4.741709181035896,5.090228544201816
28.0,140.0,0.6,37.2,203.96376,23.586343338533467,4.741617780635895,5.090228544201816
28.0,140.0,0.6,74.4,201.2556,23.277180567043658,4.7415263802358965,5.090228544201816
28.0,140.0,0.6,111.6,198.54744,23.005895001246532,4.741434979835896,5.090228544201816
28.0,140.0,0.6,148.8,195.83928,22.763044647451785,4.741343579435896,5.090228544201816
28.0,140.0,0.6,186.0,193.13112,22.544058753771512,4.741252179035897,5.090228544201816
28.0,140.0,0.6,223.2,190.42296,22.34557689331486,4.741160778635896,5.090228544201816
28.0,140.0,0.6,260.4,187.71480000000003,22.164329515681914,4.7410693782358955,5.090228544201816
28.0,140.0,0.6,297.6,185.00664,21.99515789194477,4.740977977835895,5.090228544201816
28.0,140.0,0.6,334.8,182.29848,22.271004844609937,4.740886577435895,5.090228544201816
28.0,140.0,0.6,372.0,179.59032,22.632288553560567,4.740795177035896,5.090228544201816
28.0,140.0,0.6,409.2,176.88216000000003,22.992184183798233,4.740703776635895,5.090228544201816
28.0,140.0,0.6,446.4,174.174,23.349422072959587,4.740612376235895,5.090228544201816
28.0,140.0,0.6,483.6,171.46584000000001,23.703157715445187,4.740520975835896,5.090228544201816
28.0,140.0,0.6,520.8,168.75768,24.05261601387688,4.740429575435895,5.090228544201816
28.0,140.0,0.6,558.0,166.04952000000003,24.39708376380809,4.740338175035896,5.090228544201816
28.0,140.0,0.7,0.0,206.67192000000003,26.037455276407982,4.741709181035896,5.090228544201816
28.0,140.0,0.7,37.2,203.96376,25.67467731353347,4.741617780635895,5.090228544201816
28.0,140.0,0.7,74.4,201.2556,25.365514542043663,4.7415263802358965,5.090228544201816
28.0,140.0,0.7,111.6,198.54744,25.094228976246534,4.741434979835896,5.090228544201816
28.0,140.0,0.7,148.8,195.83928,24.85137862245179,4.741343579435896,5.090228544201816
28.0,140.0,0.7,186.0,193.13112,24.632392728771517,4.741252179035897,5.090228544201816
28.0,140.0,0.7,223.2,190.42296,24.433910868314857,4.741160778635896,5.090228544201816
28.0,140.0,0.7,260.4,187.71480000000003,24.252663490681915,4.7410693782358955,5.090228544201816
28.0,140.0,0.7,297.6,185.00664,24.08349186694477,4.740977977835895,5.090228544201816
